L57   Pressure     Temp     RH       Z(m)  AER-P NDA  AER-P NDA
 1    1009.600    299.5   0.80      21.84  0.000 100  0.000 101
 2     998.416    298.3   0.80     119.80  0.000 100  0.000 101
 3     981.607    297.1   0.80     268.51  0.000 100  0.000 101
 4     969.512    296.3   0.80     376.67  0.000 100  0.000 101
 5     954.746    295.8   0.80     510.19  0.000 100  0.000 101
 6     937.237    294.8   0.50     670.96  0.000 100  0.000   0
 7     916.978    293.7   0.50     860.13  0.000 100  0.000   0
 8     894.018    292.4   0.50    1078.80  0.000 100  0.000   0
 9     868.459    291.1   0.50    1327.83  0.000 100  0.000   0
 10    840.447    289.5   0.30    1608.09  0.000 100  0.000   0
 11    810.170    287.8   0.30    1919.92  0.000 100  0.000   0
 12    777.851    285.9   0.30    2263.90  0.000 100  0.000   0
 13    743.743    283.9   0.30    2640.31  0.000   0  0.000   0
 14    708.123    282.0   0.30    3049.45  0.000   0  0.000   0
 15    671.284    279.5   0.30    3491.76  0.000   0  0.000   0
 16    633.536    276.5   0.30    3966.65  0.000   0  0.000   0
 17    595.193    274.1   0.30    4473.52  0.000   0  0.000   0
 18    556.572    271.3   0.30    5013.36  0.000   0  0.000   0
 19    517.985    267.8   0.30    5585.68  0.000   0  0.000   0
 20    479.738    264.1   0.30    6188.81  0.000   0  0.000   0
 21    442.118    260.3   0.30    6822.10  0.000   0  0.000   0
 22    405.393    255.9   0.20    7484.81  0.000   0  0.000   0
 23    369.807    251.0   0.20    8175.08  0.000   0  0.000   0
 24    335.569    245.4   0.20    8890.90  0.000   0  0.000   0
 25    302.853    239.3   0.20    9630.12  0.000   0  0.000   0
 26    271.790    233.2   0.20   10390.40  0.000   0  0.000   0
 27    242.463    226.8   0.20   11172.13  0.000   0  0.000   0
 28    214.900    220.0   0.20   11975.74  0.000   0  0.000   0
 29    189.071    213.1   0.20   12802.78  0.000   0  0.000   0
 30    165.047    206.5   0.20   13653.17  0.000   0  0.000   0
 31    142.883    200.6   0.20   14527.32  0.000   0  0.000   0
 32    122.607    194.6   0.20   15428.47  0.000   0  0.000   0
 33    104.227    189.5   0.20   16356.30  0.000   0  0.000   0
 34     87.727    192.7   0.20   17315.21  0.000   0  0.000   0
 35     73.066    200.6   0.20   18349.57  0.000   0  0.000   0
 36     60.180    203.8   0.20   19492.19  0.000   0  0.000   0
 37     49.067    208.0   0.20   20713.65  0.000   0  0.000   0
 38     39.602    211.6   0.20   22022.20  0.000   0  0.000   0
 39     31.964    211.3   0.20   23353.20  0.000   0  0.000   0
 40     25.798    212.4   0.20   24682.66  0.000   0  0.000   0
 41     20.822    219.6   0.20   26018.81  0.000   0  0.000   0
 42     16.806    223.3   0.20   27400.30  0.000   0  0.000   0
 43     13.564    227.0   0.20   28805.19  0.000   0  0.000   0
 44     10.948    230.4   0.20   30233.30  0.000   0  0.000   0
 45      8.836    232.7   0.20   31682.83  0.000   0  0.000   0
 46      7.132    236.0   0.20   33146.96  0.000   0  0.000   0
 47      5.756    238.4   0.20   34631.48  0.000   0  0.000   0
 48      4.646    242.2   0.20   36131.28  0.000   0  0.000   0
 49      3.739    247.9   0.20   37674.45  0.000   0  0.000   0
 50      2.984    253.4   0.20   39315.22  0.000   0  0.000   0
 51      2.347    257.1   0.20   41101.54  0.000   0  0.000   0
 52      1.805    262.7   0.20   43082.93  0.000   0  0.000   0
 53      1.344    265.0   0.20   45356.53  0.000   0  0.000   0
 54      0.956    268.9   0.20   48008.91  0.000   0  0.000   0
 55      0.636    267.3   0.20   51223.25  0.000   0  0.000   0
 56      0.384    252.4   0.20   55183.69  0.000   0  0.000   0
 57      0.200    232.4   0.20   60022.65  0.000   0  0.000   0
 58      0.020    232.4   0.20   75732.21  0.000   0  0.000   0

